Statistic Label,Year,Household Disposable Income Quintiles,Expenditure,UNIT,VALUE
Average weekly household expenditure,2023,3rd quintile,Other money given to other persons (09.20),Euro,12.95
Average weekly household expenditure,2023,3rd quintile,Other Miscellaneous (09.21),Euro,3.58
Average weekly household expenditure,2023,4th quintile,Total average weekly household expenditure (00.00.00.00),Euro,1247.52
Average weekly household expenditure,2023,4th quintile,Total food (01),Euro,200.43
Average weekly household expenditure,2023,4th quintile,Total food consumed at home (01.01),Euro,159.49
Average weekly household expenditure,2023,4th quintile,Bread (including retail sandwiches) (01.01.01),Euro,8.12
Average weekly household expenditure,2023,4th quintile,Flour (01.01.02),Euro,0.25
Average weekly household expenditure,2023,4th quintile,Pastries and biscuits (01.01.03),Euro,10.23
Average weekly household expenditure,2023,4th quintile,Breakfast cereals (01.01.04),Euro,2.28
Average weekly household expenditure,2023,4th quintile,"Milk, cream yoghurts and cheese (01.01.05)",Euro,13.14
Average weekly household expenditure,2023,4th quintile,"Butter, fats and cooking oil (01.01.06)",Euro,3.26
Average weekly household expenditure,2023,4th quintile,Eggs (01.01.07),Euro,2.09
